,dataset,area_by_perimeter
0,Volker,0.011358167997623765
1,Volker,0.0023436397967534295
2,Volker,0.0028121913624502624
3,Volker,0.0028900567285233126
4,Volker,0.0032175444739142053
5,Volker,0.002233571091762756
6,Volker,0.002498730585987001
7,Volker,0.002551260410961525
8,Volker,0.0026020153319823327
9,Volker,0.004792707626998673
10,Volker,0.003694078168124885
11,Volker,0.0048191296376715945
12,Volker,0.0035002485082263057
13,Volker,0.018753218255521897
14,Volker,0.005198321655871755
15,Volker,0.005440087159093587
16,Volker,0.006372606831125563
17,Volker,0.0037944897521415195
18,Volker,0.0022517879920997256
19,Volker,0.00278207872698551
20,Volker,0.0042306371697947345
21,Volker,0.0022306211017522155
22,Volker,0.002935002680168754
23,Volker,0.004400794913249771
24,Volker,0.003498936296683247
25,Volker,0.0017971440310840187
26,Volker,0.0028362044406234107
27,Volker,0.002104665880628806
28,Volker,0.007958893340501094
29,Volker,0.0029380963801726306
30,Volker,0.019012227042160153
31,Volker,0.0052120050554610034
32,Volker,0.0036039531278134183
33,Volker,0.04274630097707628
34,Volker,0.0023972980427316177
35,Volker,0.0019034193678456233
36,Volker,0.003576554358874994
37,Volker,0.002806915588718425
38,Volker,0.003267530837739845
39,Volker,0.018474131431028072
40,Volker,0.007274417910702857
41,Volker,0.03400620839673877
42,Volker,0.007965743349227582
43,Volker,0.008853423850964545
44,Volker,0.0022565929708873046
45,Volker,0.0033298411790468898
46,Volker,0.015897217247440833
47,Volker,0.003420154444999201
48,Volker,0.0019951495107128877
49,Volker,0.010381685377051121
50,Volker,0.0030134183233367206
51,Volker,0.002600417252316884
52,Volker,0.012022657263705074
53,Volker,0.02854321050027251
54,Volker,0.004451215560998633
55,Volker,0.011549293590411921
56,Volker,0.0025834167530822197
57,Volker,0.002263594525456297
58,Volker,0.002735383184997792
59,Volker,0.0027982878873159768
60,Volker,0.004272730676133671
61,Volker,0.002305176458012179
62,Volker,0.008259059670758006
63,Volker,0.0030320043171187584
64,Volker,0.0013892115236518485
65,Volker,0.011782885535961777
66,Volker,0.002473303098024243
67,Volker,0.0038865435315637
68,Volker,0.002918273258874793
69,Volker,0.0041769105112319715
70,Volker,0.010655831783467594
71,Volker,0.0025615838606597384
72,Volker,0.0035150152034107668
73,Volker,0.002438517343257152
74,Volker,0.0016697752366524388
75,Volker,0.01619857364384049
76,Volker,0.0028032191298186264
77,Volker,0.0027674021080126045
78,Volker,0.002527223818529171
79,Volker,0.0024165323795413162
80,Volker,0.0029621280149194507
81,Volker,0.00511726327276921
82,Volker,0.004791526696459011
83,Volker,0.00502248692674288
84,Volker,0.0025387050820917163
85,Volker,0.002644297060661873
86,Volker,0.0026220161913526802
87,Volker,0.0023889570820194396
88,Volker,0.010709337812911415
89,Volker,0.006463600272043025
90,Volker,0.0038845278009331423
91,Volker,0.002332179093583812
92,Volker,0.001912633447821689
93,Volker,0.009247398255958623
94,Volker,0.0024653637417370207
95,Volker,0.003998368757362557
96,Volker,0.006673029119258694
97,Volker,0.008132999028359374
98,Volker,0.007651710333270074
99,Volker,0.003909438714800523
100,Volker,0.017473461076573323
101,Volker,0.0022717358691444946
102,Volker,0.002108869349309023
103,Volker,0.00504198625599235
104,Volker,0.0016168625784957183
105,Volker,0.003059283877924633
106,Volker,0.006976929619550625
107,Volker,0.005733024461552713
108,Volker,0.035457321324908635
109,Volker,0.004321429554085533
110,Volker,0.002816364623078691
111,Volker,0.0025112290972647677
112,Volker,0.003439711724244643
113,Volker,0.002391602423064603
114,Volker,0.0032976995606754035
115,Volker,0.003158937154671729
116,Volker,0.003214188572829769
117,Volker,0.0027437840201196876
118,Volker,0.0025052336623669212
119,Volker,0.0033631987558232074
120,Volker,0.0016017599881896765
121,Volker,0.0026983683088442206
122,Volker,0.004637063393223023
123,Volker,0.002982518534270404
124,Volker,0.0021632620293823342
125,Volker,0.004364584189678525
126,Volker,0.004025894908532811
127,Volker,0.0022841416020579854
128,Volker,0.009672918872443453
